title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Fiesta ZETEC 1.25,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./43213948098540590/advert?channel=CARS,"14,945",2013 ,Meath,"7,083",1.2,Petrol,Manual,Black,1,,Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/37713813458494120/advert?channel=CARS,"14,950",2013 ,Clare,"5,282",0.9,Petrol,Manual,Metallic Black,1,"June, 2017",Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/36813813464228560/advert?channel=CARS,"14,950",2013 ,Clare,"6,214",0.9,Petrol,Manual,Blue,1,"June, 2017",Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/36813813457027010/advert?channel=CARS,"14,950",2013 ,Clare,"6,338",0.9,Petrol,Manual,Gold,1,"June, 2017",Hatchback
Ford Fiesta 1.0i Econetic,http://www.carzone.ie/search/Ford/Fiesta/1.0i-Eco/37613778677016460/advert?channel=CARS,"14,700",2013 ,Kildare,"5,592",1.0,Petrol,Manual,Metallic Panther,1,"July, 2017",Hatchback
Ford Fiesta TITANIUM 1.5 5DR,http://www.carzone.ie/search/Ford/Fiesta/TITANIUM/43813939374400870/advert?channel=CARS,"16,950",2013 ,Laois,"15,299",1.5,Diesel,Manual,Red,1,,Hatchback
Ford Fiesta TITANIUM 1.5 75PS M5 5DR,http://www.carzone.ie/search/Ford/Fiesta/TITANIUM/43813953113080690/advert?channel=CARS,"17,450",2013 ,Galway,"7,929",1.5,Diesel,Manual,Panther Black,2,,Hatchback
Ford Fiesta MCA TITANIUM 1.5 75PS M5 5DR,http://www.carzone.ie/search/Ford/Fiesta/MCA-TITA/38613916905423970/advert?channel=CARS,"17,500",2013 ,Limerick,"12,427",1.4,Diesel,Manual,Blue,1,"February, 2017",Hatchback
Ford Fiesta ST2 1.6 182PS,http://www.carzone.ie/search/Ford/Fiesta/ST2-1.6-/44013934994853600/advert?channel=CARS,"22,500",2013 ,Limerick,"8,699",1.5,Petrol,Manual,Metallic Blue,1,"April, 2017",Hatchback
Ford Fiesta,http://www.carzone.ie/search/Ford/Fiesta/201407221695835/advert?channel=CARS,"13,500",2013 ,Offaly,182,1.2,Petrol,Manual,Silver,1,,Hatchback
Ford Fiesta  1.25 60PS 5dr,http://www.carzone.ie/search/Ford/Fiesta/-1.25-60/44413945323447940/advert?channel=CARS,"13,750",2013 ,Dublin,"12,427",1.2,Petrol,Manual,Bronze,1,,Hatchback
Ford Fiesta 1.25 zetec,http://www.carzone.ie/search/Ford/Fiesta/1.25-zet/43413947376815150/advert?channel=CARS,"13,945",2013 ,Meath,"13,048",1.2,Petrol,Manual,White,1,,Hatchback
Ford Fiesta MCA 1.25 60PS M5 5DR,http://www.carzone.ie/search/Ford/Fiesta/MCA-1.25/36613807884372550/advert?channel=CARS,"13,950",2013 ,Cork,"6,338",1.2,Petrol,Manual,Midnight Sky,1,"July, 2017",Hatchback
Ford Fiesta MCA ZETEC 1.25 60PS M5,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/37113811537918040/advert?channel=CARS,"14,000",2013 ,Cork,"5,903",1.2,Petrol,Manual,White,1,"June, 2017",Hatchback
Ford Fiesta ZETEC 1.5 Dsl.....,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./38313927509194710/advert?channel=CARS,"16,950",2013 ,Kildare,"8,078",1.5,Diesel,Manual,Silver Met,1,"January, 2017",Hatchback
Ford Fiesta  ZETEC 1.0 65PS 5 DR,http://www.carzone.ie/search/Ford/Fiesta/-ZETEC-1/39113909414786620/advert?channel=CARS,"14,995",2013 ,Mayo,"19,884",1.0,Petrol,Manual,Blue,1,"January, 2017",Hatchback
Ford Fiesta TITANIUM 1.0 100PS,http://www.carzone.ie/search/Ford/Fiesta/TITANIUM/38713915306981870/advert?channel=CARS,"15,200",2013 ,Cork,"4,971",0.9,Petrol,Manual,Hot Magenta Met,1,"February, 2017",Hatchback
Ford Fiesta MCA ZETEC 1.25 60PS M5,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/39313898024589710/advert?channel=CARS,"15,250",2013 ,Dublin,"4,665",1.2,Petrol,Manual,Candy Blue,1,"January, 2017",Hatchback
Ford Fiesta  1.0 ZETEC DEMO MODEL..,http://www.carzone.ie/search/Ford/Fiesta/-1.0-ZET/39313911657027100/advert?channel=CARS,"15,250",2013 ,Louth,"9,380",0.9,Petrol,Manual,Metallic Blue,1,"March, 2017",Hatchback
Ford Fiesta 5 DOOR TITANIUM 1.25 60PS,http://www.carzone.ie/search/Ford/Fiesta/5-DOOR-T/43713945467868560/advert?channel=CARS,"15,995",2013 ,Dublin,932,1.2,Petrol,Manual,Silver,1,,Hatchback
Ford Fiesta MCA ZETEC 1.5 75PS M5 4DR,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/43613944444396400/advert?channel=CARS,"15,995",2013 ,Dublin,"10,479",1.4,Diesel,Manual,Black,1,,Hatchback
Ford Fiesta ZETEC 1.5 75PS 5DR,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./44413947107015340/advert?channel=CARS,"16,250",2013 ,Cork,"20,195",1.4,Diesel,Manual,Blue,1,,Hatchback
Ford Fiesta MCA ZETEC 1.5 75PS M5,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/44013940290488090/advert?channel=CARS,"16,275",2013 ,Cork,"18,371",1.5,Diesel,Manual,Black,1,,Hatchback
Ford Fiesta Zetec 1.5TDsl,http://www.carzone.ie/search/Ford/Fiesta/Zetec-1./39313926474829570/advert?channel=CARS,"16,900",2013 ,Kildare,"14,680",1.5,Diesel,Manual,Metallic Panther,1,"January, 2017",Hatchback
Ford Fiesta 5 DOOR ZETEC 1.25,http://www.carzone.ie/search/Ford/Fiesta/5-DOOR-Z/43813945432189430/advert?channel=CARS,"14,995",2013 ,Dublin,"12,255",1.2,Petrol,Manual,White,1,,Hatchback
Ford Fiesta FIESTA ARGENTO 1.25 60PS,http://www.carzone.ie/search/Ford/Fiesta/FIESTA-A/43013929073597030/advert?channel=CARS,"14,950",2013 ,Dublin,"6,219",1.2,Petrol,Manual,Moondust,1,"January, 2017",Hatchback
Ford Fiesta MCA 1.25 60PS M5 5DR,http://www.carzone.ie/search/Ford/Fiesta/MCA-1.25/39313927434656480/advert?channel=CARS,"14,950",2013 ,Galway,"7,456",1.2,Petrol,Manual,Race Red,2,"February, 2017",Hatchback
Ford Fiesta 1.2 STYLE 5DR,http://www.carzone.ie/search/Ford/Fiesta/1.2-STYL/39913916995446350/advert?channel=CARS,"14,950",2013 ,Meath,"12,427",1.2,Petrol,Manual,Silver,1,"January, 2017",Hatchback
Ford Fiesta FIESTA MCA ZETEC 1.25 60PS M5 4DR,http://www.carzone.ie/search/Ford/Fiesta/FIESTA-M/39313914265747450/advert?channel=CARS,"14,950",2013 ,Dublin,"19,572",1.2,Petrol,Manual,Silver,1,,Hatchback
Ford Fiesta,http://www.carzone.ie/search/Ford/Fiesta/42713957521739370/advert?channel=CARS,"14,975",2013 ,Wexford,"16,652",1.2,Petrol,Manual,Blue,1,,Hatchback
Ford Fiesta ZETEC 1.25 3DR,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./39913912635995520/advert?channel=CARS,"14,995",2013 ,Dublin,"6,980",1.2,Petrol,Manual,Blue,1,"February, 2017",Hatchback
Ford Fiesta ZETEC 1.25 5DR,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./39313897189861810/advert?channel=CARS,"14,995",2013 ,Dublin,"6,994",1.2,Petrol,Manual,Blue,1,"January, 2017",Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4 4DR,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/43213956543190120/advert?channel=CARS,"14,995",2013 ,Dublin,"8,403",0.9,Petrol,Manual,Black,1,,Hatchback
Ford Fiesta ZETEC 1.25 60PS M5,http://www.carzone.ie/search/Ford/Fiesta/ZETEC-1./38213897189188230/advert?channel=CARS,"14,995",2013 ,Dublin,"8,699",1.2,Petrol,Manual,Black,1,"January, 2017",Hatchback
Ford Fiesta Zetec 1.25,http://www.carzone.ie/search/Ford/Fiesta/Zetec-1./38613916038310470/advert?channel=CARS,"14,750",2013 ,Wicklow,"7,456",1.2,Petrol,Manual,Midnight Sky,1,,Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/37213725200399420/advert?channel=CARS,"14,950",2013 ,Clare,"5,282",0.9,Petrol,Manual,Metallic Gold,1,,Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4 4DR,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/38813908383671040/advert?channel=CARS,"14,950",2013 ,Dublin,"6,152",0.9,Petrol,Manual,Black,1,"January, 2017",Hatchback
Ford Fiesta MCA 1.0 65PS M5 4DR,http://www.carzone.ie/search/Ford/Fiesta/MCA-1.0-/38213927407105090/advert?channel=CARS,"14,000",2013 ,Mayo,"13,544",0.9,Petrol,Manual,Metallic Blue,1,"March, 2017",Hatchback
Ford Fiesta MCA ZETEC 1.0 65PS M5 4,http://www.carzone.ie/search/Ford/Fiesta/MCA-ZETE/38813927405734200/advert?channel=CARS,"14,000",2013 ,Mayo,"22,711",0.9,Petrol,Manual,Metallic Red,1,"March, 2017",Hatchback
