title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Mondeo LX 1.6,http://www.carzone.ie/search/Ford/Mondeo/LX-1.6-/43413944532803310/advert?channel=CARS,"7,950",2007,Laois,"36,040",1.5,Petrol,Manual,Metallic Red,3,"July, 2015",Saloon
Ford Mondeo 2.0 TDCi DIESEL ZETEC 128BHP,http://www.carzone.ie/search/Ford/Mondeo/2.0-TDCi/37613815088928020/advert?channel=CARS,"6,950",2007,Laois,"110,000",2.0,Diesel,Manual,Silver,1,"October, 2015",Hatchback
"Ford Mondeo ....1.6, SPOTLESS CONDITION, GREAT VALUE, NCT 7/15, TAX 6/14, LOW MILES....","http://www.carzone.ie/search/Ford/Mondeo/....1.6,/43213947240843960/advert?channel=CARS","6,999",2007,Dublin,"52,000",1.5,Petrol,Manual,Silver,2,"July, 2015",Saloon
Ford Mondeo 1.8 TDCi LX 5dr // One Owner // Original IRISH Car // Full Extensive MAIN DEALER SERVICE,http://www.carzone.ie/search/Ford/Mondeo/1.8-TDCi/44513958802285060/advert?channel=CARS,"6,950",2007,Dublin,"109,000",1.7,Diesel,Manual,Silver,1,"July, 2015",Hatchback
Ford Mondeo ZETEC 1.6***L@@K LIKE NEW CONDITION***,http://www.carzone.ie/search/Ford/Mondeo/ZETEC-1./38813922146681120/advert?channel=CARS,"6,500",2007,Dublin,"70,836",1.5,Petrol,Manual,Metallic Grey,1,"October, 2015",Hatchback
"Ford Mondeo LX 1.8 5SPEED,,NCT 12,15 ,,2 KEYS ,,FULL SERVICE HISTORY,,",http://www.carzone.ie/search/Ford/Mondeo/LX-1.8-5/38113866758976800/advert?channel=CARS,"6,500",2007,Dublin,"120,000",1.7,Diesel,Manual,Black,3,"December, 2015",Hatchback
Ford Mondeo 2.0 TD CI GHIA 140BHP 6SPEED 5DR,http://www.carzone.ie/search/Ford/Mondeo/2.0-TD-C/201404221356102/advert?channel=CARS,"6,500",2007,Limerick,"144,000",2.0,Diesel,Manual,Grey,2,"December, 2014",Hatchback
Ford Mondeo ZETEC 1.6 5SPEED 4DR 5 SPEED,http://www.carzone.ie/search/Ford/Mondeo/ZETEC-1./43813959322900240/advert?channel=CARS,"6,750",2007,Tipperary,"88,856",1.5,Petrol,Manual,Metallic Silver,2,"June, 2015",Saloon
Ford Mondeo PLATINUM 2.0 TD 4DR 115PS,http://www.carzone.ie/search/Ford/Mondeo/PLATINUM/43713947271991520/advert?channel=CARS,"6,750",2007,Laois,"90,720",1.9,Diesel,Manual,Silver,1,,Saloon
Ford Mondeo 2.5,http://www.carzone.ie/search/Ford/Mondeo/2.5/37713730255687350/advert?channel=CARS,"6,750",2007,Dublin,"95,070",2.5,Petrol,Manual,Metallic Blue,2,"May, 2014",Hatchback
Ford Mondeo NT ZETEC 2.0 TDI 5DR 140PS 6 SPEED,http://www.carzone.ie/search/Ford/Mondeo/NT-ZETEC/39113910967169620/advert?channel=CARS,"6,850",2007,Galway,"125,000",1.9,Diesel,Manual,Metallic Silver,1,"October, 2015",Hatchback
Ford Mondeo PLATINUM 2.0 TDCI 90PS,http://www.carzone.ie/search/Ford/Mondeo/PLATINUM/36613858169891010/advert?channel=CARS,"6,900",2007,Kildare,"77,671",1.9,Diesel,Manual,Metallic Red,2,"February, 2015",Hatchback
Ford Mondeo LX 1.6 5SPEED 4DR,http://www.carzone.ie/search/Ford/Mondeo/LX-1.6-5/201402221004969/advert?channel=CARS,"6,950",2007,Clare,"82,860",1.6,Petrol,Manual,Black,2,"July, 2015",Saloon
Ford Mondeo PLATINUM 1.8 4DR,http://www.carzone.ie/search/Ford/Mondeo/PLATINUM/43413939433888530/advert?channel=CARS,"6,500",2007,Dublin,"37,909",1.7,Petrol,Manual,Bronze,1,,Saloon
Ford Mondeo PLATINUM 4DR,http://www.carzone.ie/search/Ford/Mondeo/PLATINUM/34313604226184520/advert?channel=CARS,"5,950",2007,Kildare,"89,477",1.9,Diesel,Manual,Black,1,"January, 2015",Saloon
Ford Mondeo LX 1.8 TDCI 100PS 5SPEED,http://www.carzone.ie/search/Ford/Mondeo/LX-1.8-T/43213930042159840/advert?channel=CARS,"5,950",2007,Dublin,"111,847",1.7,Diesel,Manual,Silver,2,"July, 2015",Saloon
Ford Mondeo LX 1.8 TDCI Diesel NCT7/2015.SIMI Dealer,http://www.carzone.ie/search/Ford/Mondeo/LX-1.8-T/43213930046936190/advert?channel=CARS,"5,950",2007,Dublin,"111,847",1.7,Diesel,Manual,Silver,2,"July, 2015",Saloon
