title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
BMW 5 Series BMW 520d M Sport GT,http://www.carzone.ie/search/BMW/5-Series/BMW-520d/42913929858937920/advert?channel=CARS,"67,638",2014 ,Tipperary,0,1.9,Diesel,Automatic,Space Grey,0,,SUV
BMW 5 Series 520d Luxury,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/38613921154377000/advert?channel=CARS,"56,528",2014 ,Dublin,4,1.9,Diesel,Automatic,Imperial Blue,0,,Saloon
BMW 5 Series 520D,http://www.carzone.ie/search/BMW/5-Series/520D/38013847919631870/advert?channel=CARS,"56,981",2014 ,Dublin,0,2.0,Diesel,Automatic,Callisto Grey,0,,Saloon
BMW 5 Series 520d M Sport,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/39113922977842470/advert?channel=CARS,"58,475",2014 ,Dublin,5,1.9,Diesel,Automatic,Glacier Silver,0,,Saloon
BMW 5 Series 518d M Sport,http://www.carzone.ie/search/BMW/5-Series/518d-M-S/38213923847647460/advert?channel=CARS,"58,776",2014 ,Dublin,4,1.9,Diesel,Automatic,Carbon Black,0,,Estate
BMW 5 Series 520d SE GT,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/38313922713470820/advert?channel=CARS,"59,945",2014 ,Sligo,"1,905",1.9,Diesel,Automatic,Sophisto Grey Xirallic,,,Hatchback
BMW 5 Series 520d M Sport,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/37713848652852400/advert?channel=CARS,"64,569",2014 ,Dublin,0,2.0,Diesel,Manual,Estoril Blue,0,,Saloon
BMW 5 Series 520d Luxury GT,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/43313939131909080/advert?channel=CARS,"65,995",2014 ,Westmeath,492,1.9,Diesel,Automatic,Space Grey,,,Hatchback
BMW 5 Series 520d M Sport GT,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/37013890745396500/advert?channel=CARS,"66,995",2014 ,Dublin,"4,971",1.9,Diesel,Automatic,Alpine White,,,Hatchback
BMW 5 Series 520d M/SPORT GT 2.0,http://www.carzone.ie/search/BMW/5-Series/520d-M%23S/37013839161291270/advert?channel=CARS,"66,999",2014 ,Dublin,"1,650",2.0,Diesel,Automatic,Alpine White,0,,Hatchback
BMW 5 Series 518d M Sport,http://www.carzone.ie/search/BMW/5-Series/518d-M-S/38713925305988250/advert?channel=CARS,"56,495",2014 ,Dublin,"1,131",1.9,Diesel,Automatic,Space Grey,,,Saloon
BMW 5 Series 518d Luxury,http://www.carzone.ie/search/BMW/5-Series/518d-Lux/36613889016988100/advert?channel=CARS,"52,995",2014 ,Dublin,"2,734",1.9,Diesel,Automatic,Black Sapphire,,,Saloon
BMW 5 Series 520d Luxury saloon 2.0BMW,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/36313839157445910/advert?channel=CARS,"52,999",2014 ,Dublin,651,2.0,Diesel,Automatic,Black,0,,Saloon
BMW 5 Series 520d LUXURY AUTO==HIGH SPEC==,http://www.carzone.ie/search/BMW/5-Series/520d-LUX/44213941442158860/advert?channel=CARS,"53,950",2014 ,Galway,0,2.0,Diesel,Automatic,Black Sapphire,0,"February, 2018",Saloon
BMW 5 Series 518d M Sport,http://www.carzone.ie/search/BMW/5-Series/518d-M-S/43713941726768060/advert?channel=CARS,"53,995",2014 ,Westmeath,37,1.9,Diesel,Automatic,Space Grey,,,Saloon
BMW 5 Series 518d Luxury,http://www.carzone.ie/search/BMW/5-Series/518d-Lux/42913946907919250/advert?channel=CARS,"53,995",2014 ,Westmeath,160,1.9,Diesel,Automatic,Jatoba,,,Saloon
BMW 5 Series BMW 518d Modern Touring,http://www.carzone.ie/search/BMW/5-Series/BMW-518d/38513896966990960/advert?channel=CARS,"54,710",2014 ,Tipperary,0,1.9,Diesel,Automatic,Jet Black,0,,Estate
BMW 5 Series 520d Luxury Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/38513899536898020/advert?channel=CARS,"54,950",2014 ,Dublin,"2,779",1.9,Diesel,Automatic,Callisto Grey,,,Saloon
BMW 5 Series 520d M Sport Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/44713959867832650/advert?channel=CARS,"55,495",2014 ,Dublin,62,1.9,Diesel,Automatic,Sophisto Grey Xirallic,,,Saloon
BMW 5 Series 520d Luxury Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-Lux/43413928761228500/advert?channel=CARS,"55,495",2014 ,Dublin,124,1.9,Diesel,Automatic,Black Sapphire,,,Saloon
BMW 5 Series 518d Modern Auto,http://www.carzone.ie/search/BMW/5-Series/518d-Mod/37613892690840560/advert?channel=CARS,"52,323",2014 ,Waterford,12,1.9,Diesel,Manual,Callisto Grey,0,,Saloon
BMW 5 Series 520D SE Auto,http://www.carzone.ie/search/BMW/5-Series/520D-SE-/37013847956095670/advert?channel=CARS,"50,695",2014 ,Dublin,0,2.0,Diesel,Automatic,Alpine White,0,,Saloon
