title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Focus Zetec app pack,http://www.carzone.ie/search/Ford/Focus/Zetec-ap/36613867737541610/advert?channel=CARS,"20,950",2013 ,Louth,"10,925",1.6,Diesel,Manual,Moondust,1,,Hatchback
Ford Focus Zetec app pack,http://www.carzone.ie/search/Ford/Focus/Zetec-ap/37113867730755310/advert?channel=CARS,"20,950",2013 ,Louth,"11,255",1.5,Diesel,Manual,Panther,1,,Hatchback
Ford Focus EDGE 1.6 TDCI 95PS 5SPEED 5DR,http://www.carzone.ie/search/Ford/Focus/EDGE-1.6/44513953122485150/advert?channel=CARS,"20,950",2013 ,Galway,"13,981",1.6,Diesel,Manual,Black,1,,Hatchback
Ford Focus EDGE 1.6 TDCI 95PS 5SPEED 5DR,http://www.carzone.ie/search/Ford/Focus/EDGE-1.6/39713923755757090/advert?channel=CARS,"20,950",2013 ,Dublin,"22,000",1.5,Diesel,Manual,Grey,1,"February, 2017",Hatchback
Ford Focus 1.6 TDCI 95PS M6 ZETEC 4DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/36513795153494180/advert?channel=CARS,"20,995",2013 ,Mayo,"9,928",1.5,Diesel,Manual,Metallic Silver,1,"April, 2017",Saloon
Ford Focus 1.6 TDCI 95PS M6 ZETEC 4DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/36513790694154010/advert?channel=CARS,"20,995",2013 ,Mayo,"11,123",1.5,Diesel,Manual,Metallic Silver,1,"April, 2017",Saloon
Ford Focus 1.6 TDCI 95PS M6 ZETEC 4DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/37213812213244120/advert?channel=CARS,"20,995",2013 ,Mayo,"16,058",1.5,Diesel,Manual,Metallic Grey,1,"March, 2017",Hatchback
Ford Focus EDGE 1.6 TDCI 95PS M6 STYLE 4DR,http://www.carzone.ie/search/Ford/Focus/EDGE-1.6/36813783934391390/advert?channel=CARS,"20,950",2013 ,Dublin,"9,942",1.6,Diesel,Manual,Dark Micastone,1,"May, 2017",Saloon
Ford Focus EDGE 1.6 TDCI 95PS 5SPEED 5DR,http://www.carzone.ie/search/Ford/Focus/EDGE-1.6/37713869369933170/advert?channel=CARS,"20,950",2013 ,Dublin,"10,000",1.5,Diesel,Manual,Silver,1,"March, 2017",Hatchback
Ford Focus 1.6 TDCI 95PS M6 ZETEC 5dr,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/37313839305070630/advert?channel=CARS,"20,600",2013 ,Dublin,"8,083",1.5,Diesel,Manual,Silver,1,"February, 2017",Hatchback
Ford Focus 5DR 1.6 TDCI 95PS ZETEC,http://www.carzone.ie/search/Ford/Focus/5DR-1.6-/37113753694635840/advert?channel=CARS,"20,750",2013 ,Cork,"6,524",1.5,Diesel,Manual,Moondust Silver,1,"January, 2017",Hatchback
Ford Focus 5 DOORS 1.6 TDCI 95PS ZETEC 4DR,http://www.carzone.ie/search/Ford/Focus/5-DOORS-/36513758716159600/advert?channel=CARS,"20,750",2013 ,Cork,"6,587",1.5,Diesel,Manual,Metallic Silver,1,"January, 2017",Hatchback
Ford Focus 1.0T 100PS M5 FWD 4DR,http://www.carzone.ie/search/Ford/Focus/1.0T-100/37113784736046570/advert?channel=CARS,"20,750",2013 ,Dublin,"6,840",0.9,Petrol,Manual,Panther Black,1,"May, 2017",Hatchback
Ford Focus 1.6 TDC 95PS ZETEC 5DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDC-/37013753689698250/advert?channel=CARS,"20,750",2013 ,Cork,"8,389",1.5,Diesel,Manual,Grey,1,"January, 2017",Hatchback
