title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Toyota Corolla 1.4 TERRA CBU M MC,http://www.carzone.ie/search/Toyota/Corolla/1.4-TERR/201403221077801/advert?channel=CARS,"4,900",2004,Waterford,"8,000",1.3,Petrol,Manual,Grey,2,"August, 2014",Saloon
Toyota Corolla 1.4 TERRA ONLY 33k MILES  ONE OWNER CAR FROM NEW. NCT 03/15  SPOTLESS EXAMPLE /DEPOSI,http://www.carzone.ie/search/Toyota/Corolla/1.4-TERR/44213957875104660/advert?channel=CARS,"4,950",2004,Dublin,"33,000",1.3,Petrol,Manual,Silver,1,"March, 2015",Saloon
Toyota Corolla TERRA 4DR SALOON,http://www.carzone.ie/search/Toyota/Corolla/TERRA-4D/38513923811995590/advert?channel=CARS,"4,950",2004,Galway,"71,000",1.4,Petrol,Manual,Metallic Silver,2,"February, 2015",Saloon
Toyota Corolla VERSO 1.6 LUNA 7**7 SEATER**,http://www.carzone.ie/search/Toyota/Corolla/VERSO-1./42313953303875670/advert?channel=CARS,"4,950",2004,Dublin,"95,000",1.5,Petrol,Manual,Red,3,"August, 2014",SUV
Toyota Corolla VERSO-1.6 LUNA-7 SEATER,http://www.carzone.ie/search/Toyota/Corolla/VERSO-1./42913932579016580/advert?channel=CARS,"4,995",2004,Dublin,"110,549",1.5,Petrol,Manual,Grey,3,"April, 2014",SUV
Toyota Corolla VERSO 1.8 LUNA MMT,http://www.carzone.ie/search/Toyota/Corolla/VERSO-1./42713940317020800/advert?channel=CARS,"5,500",2004,Cork,"44,117",1.7,Petrol,Manual,Silver,2,,SUV
Toyota Corolla 1.8 VVTL-I T SPORT 05DR,http://www.carzone.ie/search/Toyota/Corolla/1.8-VVTL/201345219599264/advert?channel=CARS,"8,500",2004,Donegal,"70,800",1.8,Petrol,Manual,Black,1,,Hatchback
Toyota Corolla 1.4 TERRA CBU M MC,http://www.carzone.ie/search/Toyota/Corolla/1.4-TERR/37213814046720740/advert?channel=CARS,POA,2005,Cork,112,1.3,Petrol,Manual,Red,4,"January, 2015",Saloon
Toyota Corolla TERRA 04DR,http://www.carzone.ie/search/Toyota/Corolla/TERRA-04/201347219791077/advert?channel=CARS,"4,600",2004,Dublin,"59,313",1.4,Petrol,Manual,Grey,5,,Saloon
Toyota Corolla,http://www.carzone.ie/search/Toyota/Corolla/201413222702577/advert?channel=CARS,"4,600",2004,Dublin,"115,070",1.6,Petrol,Automatic,Dark Blue,2,"May, 2014",Hatchback
Toyota Corolla VERSO 1.6 LUNA 7S,http://www.carzone.ie/search/Toyota/Corolla/VERSO-1./201346219662999/advert?channel=CARS,"4,600",2004,Meath,"145,000",1.6,Petrol,Manual,Silver,3,"June, 2014",SUV
Toyota Corolla 1.4 5DR TERRA,http://www.carzone.ie/search/Toyota/Corolla/1.4-5DR-/201410222197736/advert?channel=CARS,"4,700",2004,Dublin,"80,000",1.4,Petrol,Manual,Black,4,,Hatchback
Toyota Corolla 1.4 VVT-I T2 3DR,http://www.carzone.ie/search/Toyota/Corolla/1.4-VVT-/42913936749249510/advert?channel=CARS,"4,750",2004,Cork,"72,000",1.3,Petrol,Manual,Silver,1,"January, 2015",Hatchback
Toyota Corolla 1.4 5DR TERRA,http://www.carzone.ie/search/Toyota/Corolla/1.4-5DR-/42713935874707540/advert?channel=CARS,"4,750",2004,Cork,"113,500",1.3,Petrol,Manual,Black,2,"March, 2014",Hatchback
Toyota Corolla 1.4 TERRA CBU M MC,http://www.carzone.ie/search/Toyota/Corolla/1.4-TERR/37313761239025380/advert?channel=CARS,"4,750",2004,Kerry,"119,960",1.3,Petrol,Manual,Blue,3,"July, 2014",Saloon
Toyota Corolla ***1.4 5DR**HATCH***,http://www.carzone.ie/search/Toyota/Corolla/***1.4-5/44513957666386770/advert?channel=CARS,"4,500",2004,Cork,"75,000",1.4,Petrol,Manual,Blue,2,"April, 2015",Hatchback
Toyota Corolla 1.8 VVT-I T.SPORT 3DR,http://www.carzone.ie/search/Toyota/Corolla/1.8-VVT-/201348219981020/advert?channel=CARS,"4,500",2004,Meath,"90,000",1.8,Petrol,Manual,Blue,3,"June, 2014",Hatchback
Toyota Corolla 1.4 LUNA 4DR CBU MC,http://www.carzone.ie/search/Toyota/Corolla/1.4-LUNA/201410222197763/advert?channel=CARS,"4,500",2004,Dublin,"90,892",1.4,Petrol,Manual,Silver,3,"July, 2014",Saloon
