title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Volkswagen Polo Polo Sport Edition 1.2i - Super Sale Prices,http://www.carzone.ie/search/Volkswagen/Polo/Polo-Spo/45313981797515800/advert?channel=CARS,"7,950",2008,Galway,"54,509",1.1,Petrol,Manual,Black,,,Hatchback
Volkswagen Polo Polo Sport Edition 1.2i - Super Sale Prices,http://www.carzone.ie/search/Volkswagen/Polo/Polo-Spo/45113981815490240/advert?channel=CARS,"7,950",2008,Galway,"54,509",1.1,Petrol,Manual,Black,,,Hatchback
Volkswagen Polo  SPORT 1.2 70BHP 5DR A/c.,http://www.carzone.ie/search/Volkswagen/Polo/-SPORT-1/39313896970449910/advert?channel=CARS,"7,950",2008,Waterford,"60,897",1.1,Petrol,Manual,Red,3,,Hatchback
Volkswagen Polo POLO GTI 1.8T 3DR 150BHP,http://www.carzone.ie/search/Volkswagen/Polo/POLO-GTI/201413222702703/advert?channel=CARS,"8,000",2008,Kildare,"52,817",1.8,Petrol,Manual,Red,1,"August, 2014",Hatchback
Volkswagen Polo POLO SPORT PLUS 1.2 70BHP 5DR,http://www.carzone.ie/search/Volkswagen/Polo/POLO-SPO/201417223466007/advert?channel=CARS,"8,100",2008,Dublin,"34,797",1.2,Petrol,Manual,Black,1,"July, 2014",Hatchback
Volkswagen Polo 1.2 Comfort (NCT Feb-16),http://www.carzone.ie/search/Volkswagen/Polo/1.2-Comf/37713771731539460/advert?channel=CARS,"8,250",2008,Kildare,"50,952",1.2,Petrol,Manual,Red,2,"February, 2016",Hatchback
Volkswagen Polo AIR CONDITIONING COMFORT 1.2 70BHP 5DR,http://www.carzone.ie/search/Volkswagen/Polo/AIR-COND/44513999108244540/advert?channel=CARS,"8,250",2008,Cork,"83,375",1.1,Petrol,Manual,Metallic Blue,1,"February, 2016",Hatchback
Volkswagen Polo POLO AIR CONDITIONING COMFORT 1.2 70BHP 5DR,http://www.carzone.ie/search/Volkswagen/Polo/POLO-AIR/201418223712382/advert?channel=CARS,"7,350",2008,Donegal,"31,068",1.2,Petrol,Manual,Black,1,"January, 2016",Hatchback
Volkswagen Polo 1.4 TDI (1 OWNER ),http://www.carzone.ie/search/Volkswagen/Polo/1.4-TDI-/201408221851088/advert?channel=CARS,"7,350",2008,Cork,"94,000",1.4,Diesel,Manual,Metallic Black,1,"January, 2016",Hatchback
Volkswagen Polo COMFORT 1.2*MINT* =N.C.T =2016*,http://www.carzone.ie/search/Volkswagen/Polo/COMFORT-/49814002536632790/advert?channel=CARS,"7,450",2008,Galway,"80,157",1.2,Petrol,Manual,Black,1,,Hatchback
Volkswagen Polo AIR CONDITIONING COMFORT 1.4 80BHP 5DR,http://www.carzone.ie/search/Volkswagen/Polo/AIR-COND/43813946287710210/advert?channel=CARS,"7,450",2008,Dublin,"82,642",1.3,Petrol,Automatic,Black,1,,Hatchback
"Volkswagen Polo  1.4 TDI 80BHP 5DR COMFORTLINE, AIR CONDITIONING",http://www.carzone.ie/search/Volkswagen/Polo/-1.4-TDI/42913959207031930/advert?channel=CARS,"7,750",2008,Louth,"91,155",1.4,Diesel,Manual,Metallic Silver,2,,Hatchback
Volkswagen Polo POLO MATCH TDI 70,http://www.carzone.ie/search/Volkswagen/Polo/POLO-MAT/201404221294774/advert?channel=CARS,"7,800",2008,Dublin,"83,000",1.4,Diesel,Manual,Black,2,"July, 2014",Hatchback
Volkswagen Polo AUTOMATIC-LOW MILES,http://www.carzone.ie/search/Volkswagen/Polo/AUTOMATI/43213940255727320/advert?channel=CARS,"7,950",2008,Dublin,"20,985",1.3,Petrol,Automatic,Silver,2,,Hatchback
Volkswagen Polo POLO PL SPORT 1.2 70BHP 5DR,http://www.carzone.ie/search/Volkswagen/Polo/POLO-PL-/201421224083403/advert?channel=CARS,"7,950",2008,Dublin,"33,865",1.2,Petrol,Manual,Red,3,"July, 2014",Hatchback
