title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
BMW 5 Series 520 D 2.0 Auto PRICE REDUCED!!!,http://www.carzone.ie/search/BMW/5-Series/520-D-2./42913929801421470/advert?channel=CARS,"20,950",2009,Dublin,"78,155",1.9,Diesel,Automatic,Grey Metallic,1,"June, 2015",Saloon
BMW 5 Series 520 D 2.0 Auto PRICE REDUCED!!!,http://www.carzone.ie/search/BMW/5-Series/520-D-2./42913929800342170/advert?channel=CARS,"20,950",2009,Dublin,"78,155",1.9,Diesel,Automatic,Grey Metallic,1,"June, 2015",Saloon
BMW 5 Series M Sport Business Edition,http://www.carzone.ie/search/BMW/5-Series/M-Sport-/201411222415688/advert?channel=CARS,"21,000",2009,Cork,"40,000",2.0,Diesel,Manual,Silver,2,,Saloon
BMW 5 Series 520 D SE 2.0 SALOON LCI NX32,http://www.carzone.ie/search/BMW/5-Series/520-D-SE/201417223466005/advert?channel=CARS,"21,495",2009,Cork,"21,500",2.0,Diesel,Manual,Black,2,"July, 2015",Saloon
BMW 5 Series 520 D E61 SE BUS EDITION 5DR,http://www.carzone.ie/search/BMW/5-Series/520-D-E6/201419223788840/advert?channel=CARS,"21,495",2009,Dublin,"60,000",2.0,Diesel,Manual,Metallic Grey,2,"October, 2015",Estate
BMW 5 Series 520 D E61 M SPORT BUS ED ZTBO 5DR,http://www.carzone.ie/search/BMW/5-Series/520-D-E6/201411222383499/advert?channel=CARS,"21,750",2009,Galway,"63,000",2.0,Diesel,Manual,Carbon Black,2,"June, 2015",Estate
"BMW 5 Series 520 D E60 M SPORT BUS EDITION 4DR                                      ""SHOWROOM CONDIT",http://www.carzone.ie/search/BMW/5-Series/520-D-E6/48213991129287520/advert?channel=CARS,"21,995",2009,Dublin,"43,683",1.9,Diesel,Manual,Carbon Black,4,,Saloon
BMW 5 Series 520d M Sport Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-M-S/44113934812061190/advert?channel=CARS,"21,995",2009,Tipperary,"76,650",1.9,Diesel,Manual,Carbon Black,,,Saloon
BMW 5 Series 520 D E61 SE BUS EDITION 5DR ...Lowest Mileage...,http://www.carzone.ie/search/BMW/5-Series/520-D-E6/201406221655175/advert?channel=CARS,"22,000",2009,Cork,"53,438",2.0,Diesel,Manual,Black,1,"June, 2015",Estate
BMW 5 Series 520d SE Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/45413971067197720/advert?channel=CARS,"20,950",2009,Dublin,"50,704",1.9,Diesel,Manual,Platinum Grey,,,Saloon
BMW 5 Series 520D M-SPORT DIESEL 4DR SALOON **1 YEAR WARRANTY** **1 OWNER** **NCT 01/15 TAX 09/14** ,http://www.carzone.ie/search/BMW/5-Series/520D-M-S/42613957524496310/advert?channel=CARS,"19,450",2009,Dublin,"76,584",2.0,Diesel,Manual,Space Grey,1,,Saloon
BMW 5 Series 520 D E60 SE 4DR,http://www.carzone.ie/search/BMW/5-Series/520-D-E6/50214002397501680/advert?channel=CARS,"19,950",2009,Dublin,"58,409",1.9,Diesel,Manual,Metallic Grey,1,"September, 2015",Saloon
BMW 5 Series 520D SE Business Edition,http://www.carzone.ie/search/BMW/5-Series/520D-SE-/44513959264573390/advert?channel=CARS,"19,950",2009,Galway,"60,161",1.9,Diesel,Manual,Metallic Silver,1,"August, 2015",Saloon
BMW 5 Series,http://www.carzone.ie/search/BMW/5-Series/201404221356206/advert?channel=CARS,"19,950",2009,Limerick,"74,000",2.0,Diesel,Manual,Silver,2,"March, 2015",Saloon
BMW 5 Series 520d SE TOURING..LEATHER/AUTO..FINANCE THIS CAR FROM €107 PER WEEK..TRADE IN'S WELCOME.,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/43713979138770360/advert?channel=CARS,"19,995",2009,Dublin,"74,000",2.0,Diesel,Automatic,Burgundy,2,"January, 2015",Estate
BMW 5 Series 520d SE Saloon,http://www.carzone.ie/search/BMW/5-Series/520d-SE-/42713965883025370/advert?channel=CARS,"19,950",2009,Wexford,"75,126",1.9,Diesel,Manual,Black Sapphire,,,Saloon
